Giá bán,Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất
,,,,,,,,,,,,
"3,49 tỷ",Tp Hồ Chí Minh,Phường Đông Hưng Thuận,47,"Nhà ngõ, hẻm",Đã có sổ,,4,14,2,1,,
"4,18 tỷ",Bình Dương,Phường Tân Đông Hiệp,95,Nhà phố liền kề,Đã có sổ,Tây Bắc,5,19,4,4,2,Bàn giao thô
"9,9 tỷ",Hà Nội,Phường Bưởi,43,"Nhà ngõ, hẻm",Đã có sổ,,,,5,,,
,,,,,,,,,,,,
"3,25 tỷ",Tp Hồ Chí Minh,Xã Đông Thạnh,69.8,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4,18,3,2,,
"5,8 tỷ",Tp Hồ Chí Minh,Xã Bà Điểm,76,"Nhà mặt phố, mặt tiền",Đã có sổ,,5.1,15,3,2,2,Nội thất đầy đủ
"7,4 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông A,72,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,18,6,5,5,
8 tỷ,Tp Hồ Chí Minh,Phường Bình Trị Đông,100,"Nhà ngõ, hẻm",Đã có sổ,,8,12.5,8,Nhiều hơn 6,1,
"3,4 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,56,"Nhà ngõ, hẻm",Đã có sổ,,4,14,2,2,2,
"5,8 tỷ",Bình Dương,Phường Bình Chuẩn,71.2,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"10,5 tỷ",Tp Hồ Chí Minh,Phường 12,60,"Nhà ngõ, hẻm",Đã có sổ,,4,15,4,5,5,Nội thất cao cấp
"8,3 tỷ",Tp Hồ Chí Minh,Phường 4,70,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4.3,17,3,3,2,Hoàn thiện cơ bản
,,,,,,,,,,,,
"26,3 tỷ",Hà Nội,Phường Giáp Bát,80,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,20,4,6,5,
"7,1 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,64,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4,16,2,1,1,
"9,3 tỷ",Tp Hồ Chí Minh,Phường Linh Tây (Quận Thủ Đức cũ),68,"Nhà ngõ, hẻm",Đã có sổ,,4,17,4,5,4,Nội thất cao cấp
,,,,,,,,,,,,
"12,5 tỷ",Tp Hồ Chí Minh,Phường 14,53.2,"Nhà ngõ, hẻm",Đã có sổ,,11.2,4.56,7,Nhiều hơn 6,,Nội thất đầy đủ
,,,,,,,,,,,,
"9,5 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,61,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,15,5,4,4,
"8,6 tỷ",Hà Nội,Phường Bạch Mai,30,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,5,
"2,8 tỷ",Tp Hồ Chí Minh,Phường Phú Thạnh,14,"Nhà mặt phố, mặt tiền",Đã có sổ,,3.45,4.25,1,1,,
,,,,,,,,,,,,
"6,3 tỷ",Đà Nẵng,Phường Thanh Khê Tây,77,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,15.4,3,2,2,
"5,5 tỷ",Tp Hồ Chí Minh,Phường 12,32,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4,8,2,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,45 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hòa,40,"Nhà ngõ, hẻm",Đã có sổ,,4,10,2,2,2,
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,1 tỷ",Hà Nội,Phường Phúc Lợi,50,"Nhà ngõ, hẻm",Đã có sổ,,,,4,,6,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"22,5 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,355,"Nhà ngõ, hẻm",Đã có sổ,Đông,6,60,nhiều hơn 10,Nhiều hơn 6,4,Nội thất đầy đủ
,,,,,,,,,,,,
"2,35 tỷ",Bình Dương,Phường Dĩ An,38,"Nhà ngõ, hẻm",Đã có sổ,Tây,4.5,9,2,2,,
,,,,,,,,,,,,
,,,,,,,,,,,,
13 tỷ,Tp Hồ Chí Minh,Xã An Phú Tây,358.6,"Nhà mặt phố, mặt tiền",Đã có sổ,,6.2,51.9,1,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"3,5 tỷ",Tp Hồ Chí Minh,Phường Tân Sơn Nhì,18,"Nhà ngõ, hẻm",Đã có sổ,,3,6,2,2,,
"9,2 tỷ",Tp Hồ Chí Minh,Xã Bình Chánh,242,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.5,60,6,,3,
"5,1 tỷ",Tp Hồ Chí Minh,Phường Tăng Nhơn Phú B (Quận 9 cũ),52,"Nhà ngõ, hẻm",Đã có sổ,,4,13,1,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"2,35 tỷ",Tp Hồ Chí Minh,Xã Nhơn Đức,35,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"7,49 tỷ",Tp Hồ Chí Minh,Phường Hiệp Thành,69,"Nhà ngõ, hẻm",Đã có sổ,,4,18,4,6,,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,5 tỷ",Tp Hồ Chí Minh,Phường 4,45,"Nhà ngõ, hẻm",Đã có sổ,,3.8,12,7,Nhiều hơn 6,,Nội thất đầy đủ
,,,,,,,,,,,,
25 tỷ,Hà Nội,Phường Phúc Lợi,90,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Bắc,5,18,5,4,6,Nội thất đầy đủ
"2,25 tỷ",Tp Hồ Chí Minh,Phường Phú Trung,13.5,"Nhà ngõ, hẻm",Đã có sổ,,3,4.5,2,2,3,
,,,,,,,,,,,,
"3,5 tỷ",Tp Hồ Chí Minh,Xã Trung Chánh,40,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây Nam,4,12,2,2,2,
"13,8 tỷ",Tp Hồ Chí Minh,Phường Tăng Nhơn Phú B (Quận 9 cũ),138.5,"Nhà ngõ, hẻm",Đã có sổ,Đông,4.5,30,nhiều hơn 10,Nhiều hơn 6,5,Nội thất đầy đủ
,,,,,,,,,,,,
"8,2 tỷ",Tp Hồ Chí Minh,Phường Phú Trung,55,"Nhà ngõ, hẻm",Đã có sổ,,4,14,3,4,3,
"6,95 tỷ",Tp Hồ Chí Minh,Phường Thạnh Lộc,53,"Nhà ngõ, hẻm",Đã có sổ,,4,13.5,4,4,5,Nội thất đầy đủ
,,,,,,,,,,,,
"6,29 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,53,"Nhà ngõ, hẻm",Đã có sổ,,4.4,13,4,5,,
"4,2 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,52,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,,
"8,35 tỷ",Tp Hồ Chí Minh,Phường Tân Phú (Quận 9 cũ),70,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,17,3,3,2,Nội thất cao cấp
,,,,,,,,,,,,
10 tỷ,Hà Nội,Phường Khâm Thiên,34,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,5,Nội thất cao cấp
"4,95 tỷ",Tp Hồ Chí Minh,Xã An Nhơn Tây,433,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,10,43,3,3,1,Hoàn thiện cơ bản
"23,5 tỷ",Tp Hồ Chí Minh,Phường Tân Quý,318,Nhà biệt thự,Đã có sổ,,6.6,43,nhiều hơn 10,6,3,Nội thất cao cấp
,,,,,,,,,,,,
"4,3 tỷ",Tp Hồ Chí Minh,Phường Tân Tạo,75.9,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,8,9.5,4,4,2,Bàn giao thô
"18,3 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông B,100,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,5,20,4,5,4,
"6,5 tỷ",Hà Nội,Phường Tây Mỗ,32,"Nhà ngõ, hẻm",Đã có sổ,,3.2,10,3,4,5,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
"6,5 tỷ",Tp Hồ Chí Minh,Phường Tân Hưng,72,"Nhà ngõ, hẻm",Đã có sổ,,4,18,4,3,,
"6,4 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,77,"Nhà ngõ, hẻm",Đã có sổ,Bắc,5.3,14,3,2,,Hoàn thiện cơ bản
980 triệu,Tp Hồ Chí Minh,Xã Tân Thông Hội,50,"Nhà ngõ, hẻm",Đã có sổ,,5,,2,1,1,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"8,75 tỷ",Tp Hồ Chí Minh,Phường 15,50,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,15,4,2,3,Nội thất cao cấp
"7,2 tỷ",Tp Hồ Chí Minh,Phường 11,60,"Nhà ngõ, hẻm",Đã có sổ,,5,12.6,5,4,3,Hoàn thiện cơ bản
7 tỷ,Long An,Thị trấn Hậu Nghĩa,420,"Nhà mặt phố, mặt tiền",Đã có sổ,Bắc,10,42,nhiều hơn 10,Nhiều hơn 6,,
"5,6 tỷ",Lâm Đồng,Xã Xuân Trường,188,"Nhà mặt phố, mặt tiền",Đã có sổ,Nam,18,12,2,,,Nội thất đầy đủ
"3,5 tỷ",Tp Hồ Chí Minh,Phường 14,32,"Nhà ngõ, hẻm",Đã có sổ,,4,8,2,,2,Nội thất cao cấp
525 triệu,Tp Hồ Chí Minh,Xã Xuân Thới Sơn,20,"Nhà ngõ, hẻm",Đã có sổ,,4,5,2,2,,
,,,,,,,,,,,,
"3,3 tỷ",Khánh Hòa,Phường Vĩnh Hải,80,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,6.5,12,3,2,2,Nội thất đầy đủ
"5,35 tỷ",Tp Hồ Chí Minh,Phường Phú Thọ Hòa,42,"Nhà mặt phố, mặt tiền",Đã có sổ,,3,14,4,4,3,Nội thất cao cấp
18 tỷ,Tp Hồ Chí Minh,Phường 11,79,"Nhà ngõ, hẻm",Đã có sổ,,,,3,,2,Nội thất đầy đủ
,,,,,,,,,,,,
"7,86 tỷ",Tp Hồ Chí Minh,Phường 11,36,"Nhà ngõ, hẻm",Đã có sổ,Đông,,,3,4,,
,,,,,,,,,,,,
"1,75 tỷ",Tp Hồ Chí Minh,Phường 9,10,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"9,5 tỷ",Hà Nội,Phường Phương Liệt,30,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,3,,,Nội thất đầy đủ
"6,25 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,56,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4,14,4,5,5,Hoàn thiện cơ bản
,,,,,,,,,,,,
"4,44 tỷ",Tp Hồ Chí Minh,Phường Tân Tạo,50,"Nhà ngõ, hẻm",Đã có sổ,,5,10,4,5,4,Nội thất đầy đủ
"2,8 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,30,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,4.2,7.5,3,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
"13,3 tỷ",Tp Hồ Chí Minh,Phường Hiệp Tân,76.3,Nhà phố liền kề,Đã có sổ,,4,19,4,5,4,Nội thất đầy đủ
"4,38 tỷ",Đà Nẵng,Phường Hòa Khánh Nam,73,"Nhà ngõ, hẻm",Đã có sổ,Đông Nam,4,17,3,2,2,Nội thất cao cấp
,,,,,,,,,,,,
"4,25 tỷ",Tp Hồ Chí Minh,Phường Tây Thạnh,41,"Nhà ngõ, hẻm",Đã có sổ,,5,8.2,1,,,
3 tỷ,Tp Hồ Chí Minh,Phường 17,25,"Nhà ngõ, hẻm",Đã có sổ,,3.8,7.1,2,,,
"3,85 tỷ",Đồng Nai,Phường Tân Phong,68,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4.2,16,3,2,2,
"11,5 tỷ",Hà Nội,Phường Thụy Phương,55,"Nhà ngõ, hẻm",Đã có sổ,,,,2,,,
"7,8 tỷ",Tp Hồ Chí Minh,Phường 8,48.4,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,3.95,11.6,3,4,4,Hoàn thiện cơ bản
"7,19 tỷ",Tp Hồ Chí Minh,Phường 14,68,"Nhà ngõ, hẻm",Đã có sổ,,4,18,4,4,,Nội thất đầy đủ
"8,3 tỷ",Tp Hồ Chí Minh,Phường 14,52,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,16,2,,,
"4,35 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),32.4,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.5,7.3,2,2,,Nội thất đầy đủ
"8,6 tỷ",Tp Hồ Chí Minh,Xã Bình Hưng,100,Nhà phố liền kề,Đã có sổ,,5,20,4,4,,
"6,95 tỷ",Đà Nẵng,Phường Hòa Minh,85,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Bắc,5,,3,,,
750 triệu,Tp Hồ Chí Minh,Xã Bình Hưng,18.1,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,4,4.5,1,1,2,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,6 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,46.9,"Nhà ngõ, hẻm",Đã có sổ,,3.9,12,3,3,3,
"14,86 tỷ",Tp Hồ Chí Minh,Phường Tân Chánh Hiệp,110,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.5,34,8,Nhiều hơn 6,3,Nội thất cao cấp
"4,5 tỷ",Tp Hồ Chí Minh,Phường 11,31,"Nhà ngõ, hẻm",Đã có sổ,,3.5,10,2,2,2,
,,,,,,,,,,,,
13 tỷ,Tp Hồ Chí Minh,Phường Cô Giang,58,"Nhà ngõ, hẻm",Đã có sổ,,4.05,14.35,4,2,2,Bàn giao thô
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,8 tỷ",Tp Hồ Chí Minh,Phường Phước Bình (Quận 9 cũ),88,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,22,3,2,2,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,65 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông B,100,"Nhà ngõ, hẻm",Đã có sổ,,6,17,4,5,4,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
3 tỷ,Tp Hồ Chí Minh,Phường Phú Thọ Hòa,33,"Nhà ngõ, hẻm",Đã có sổ,,,,2,2,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
"9,569 tỷ",Tp Hồ Chí Minh,Phường Linh Tây (Quận Thủ Đức cũ),100,"Nhà mặt phố, mặt tiền",Đã có sổ,,8.7,11.7,4,3,4,
,,,,,,,,,,,,
,,,,,,,,,,,,
"1,65 tỷ",Đồng Nai,Phường Bửu Hòa,47,"Nhà ngõ, hẻm",Đã có sổ,Tây Nam,6.5,7.2,2,2,1,Hoàn thiện cơ bản
"6,7 tỷ",Tp Hồ Chí Minh,Phường 6,66,"Nhà ngõ, hẻm",Đã có sổ,,6.5,11,4,,,
"5,8 tỷ",Tp Hồ Chí Minh,Phường 13,70.4,"Nhà ngõ, hẻm",Đã có sổ,,4.4,16,nhiều hơn 10,,,
,,,,,,,,,,,,
"9,9 tỷ",Tp Hồ Chí Minh,Phường 5,48,"Nhà mặt phố, mặt tiền",Đã có sổ,Tây,4,12,4,5,5,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
"8,3 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,80,"Nhà ngõ, hẻm",Đã có sổ,,4,20,4,,,Nội thất đầy đủ
"4,78 tỷ",Tp Hồ Chí Minh,Phường 8,41,"Nhà ngõ, hẻm",Đã có sổ,Tây,4,11,2,2,2,Hoàn thiện cơ bản
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,5 tỷ",Tp Hồ Chí Minh,Phường 3,52.5,"Nhà ngõ, hẻm",Đã có sổ,,3.5,15,4,2,2,
"5,8 tỷ",Tp Hồ Chí Minh,Phường Phú Trung,60,"Nhà ngõ, hẻm",Đã có sổ,Đông Bắc,4.3,14,5,3,2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,9 tỷ",Tp Hồ Chí Minh,Phường Long Trường (Quận 9 cũ),50.3,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.3,11.6,4,3,3,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,3 tỷ",Tp Hồ Chí Minh,Phường 8,21,"Nhà ngõ, hẻm",Đã có sổ,,3,7,2,2,3,
"7,5 tỷ",Tp Hồ Chí Minh,Phường Trường Thọ (Quận Thủ Đức cũ),57,"Nhà ngõ, hẻm",Đã có sổ,Tây,4.2,13.5,4,4,3,Hoàn thiện cơ bản
"8,4 tỷ",Tp Hồ Chí Minh,Phường 10,52,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,13,4,4,4,Nội thất cao cấp
13 tỷ,Hà Nội,Phường Phú Thượng,80,"Nhà ngõ, hẻm",Đã có sổ,,,,6,,,
"4,78 tỷ",Tp Hồ Chí Minh,Phường 1,25,"Nhà ngõ, hẻm",Đã có sổ,,3.2,8,2,3,3,
,,,,,,,,,,,,
"3,28 tỷ",Tp Hồ Chí Minh,Xã Bình Chánh,90,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,18,5,4,2,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"4,6 tỷ",Vĩnh Long,Xã Tân Ngãi,112,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,5,,,
"10,8 tỷ",Tp Hồ Chí Minh,Phường 14,144,"Nhà ngõ, hẻm",Đã có sổ,,7.5,19,4,5,2,
"9,5 tỷ",Tp Hồ Chí Minh,Phường 15,111,"Nhà ngõ, hẻm",Đã có sổ,Tây Bắc,4,28,1,1,2,
"3,99 tỷ",Tp Hồ Chí Minh,Thị trấn Nhà Bè,80,"Nhà ngõ, hẻm",Đã có sổ,,4,20,3,,,
"6,7 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông A,60,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông,4,15,4,5,5,
"5,2 tỷ",Tp Hồ Chí Minh,Phường 14,48,"Nhà ngõ, hẻm",Đã có sổ,,7,7,3,,,
8 tỷ,Tp Hồ Chí Minh,Phường Thới An,130,Nhà biệt thự,Đã có sổ,,,,3,3,3,Nội thất đầy đủ
"24,5 tỷ",Tp Hồ Chí Minh,Phường Phú Thuận,154,Nhà biệt thự,Đã có sổ,,9,17,4,5,4,Nội thất cao cấp
,,,,,,,,,,,,
"14,3 tỷ",Hà Nội,Phường Long Biên,42,"Nhà ngõ, hẻm",Đã có sổ,,4.1,,3,5,6,Nội thất cao cấp
"3,2 tỷ",Tp Hồ Chí Minh,Phường Trường Thọ (Quận Thủ Đức cũ),33,"Nhà ngõ, hẻm",Đã có sổ,,3,11,2,1,2,
,,,,,,,,,,,,
"23,9 tỷ",Tp Hồ Chí Minh,Phường Phước Long B (Quận 9 cũ),252,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,4,,,
"8,6 tỷ",Tp Hồ Chí Minh,Phường Tân Hưng Thuận,155,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông,4.7,33,1,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"10,2 tỷ",Tp Hồ Chí Minh,Phường 12,74.2,"Nhà mặt phố, mặt tiền",Đã có sổ,,4.2,18.3,6,6,,
,,,,,,,,,,,,
"2,438 tỷ",Đồng Nai,Phường Tân Phong,80,Nhà phố liền kề,Đã có sổ,,4,20,4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"3,85 tỷ",Tp Hồ Chí Minh,Phường 11,17.5,"Nhà ngõ, hẻm",Đã có sổ,,2.5,6.5,2,2,3,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
"3,82 tỷ",Tp Hồ Chí Minh,Phường Tân Sơn Nhì,42,"Nhà ngõ, hẻm",Đã có sổ,,4.2,10,2,2,1,
"2,7 tỷ",Tp Hồ Chí Minh,Xã Tân Quý Tây,131,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,3,2,2,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"5,4 tỷ",Tp Hồ Chí Minh,Phường Tam Phú (Quận Thủ Đức cũ),120,"Nhà ngõ, hẻm",Đã có sổ,,6,20,2,2,1,Nội thất đầy đủ
"5,95 tỷ",Tp Hồ Chí Minh,Phường 15,45,Nhà phố liền kề,Đã có sổ,,5,9,3,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"11,9 tỷ",Tp Hồ Chí Minh,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),80,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Bắc,4,20,4,4,3,Nội thất cao cấp
"4,5 tỷ",Tp Hồ Chí Minh,Phường 5,28.8,"Nhà ngõ, hẻm",Đã có sổ,,3,10,2,2,,
,,,,,,,,,,,,
"2,79 tỷ",Tp Hồ Chí Minh,Phường 24,16,"Nhà ngõ, hẻm",Đã có sổ,,,,2,1,2,Hoàn thiện cơ bản
"11,8 tỷ",Hà Nội,Xã Đức Thượng,80,Nhà phố liền kề,Đã có sổ,,,,4,,5,
,,,,,,,,,,,,
"1,78 tỷ",Tp Hồ Chí Minh,Phường Tân Tạo,30,"Nhà ngõ, hẻm",Đã có sổ,Tây,3,10,2,2,1,Nội thất đầy đủ
"9,4 tỷ",Đà Nẵng,Phường Hòa Cường Bắc,122,"Nhà ngõ, hẻm",Đã có sổ,,8,16,4,3,3,Nội thất cao cấp
"8,9 tỷ",Tp Hồ Chí Minh,Phường Tân Thuận Đông,81,Nhà phố liền kề,Đã có sổ,,5,17.8,2,2,2,Nội thất đầy đủ
"7,6 tỷ",Cần Thơ,Phường Hưng Thạnh,80,Nhà biệt thự,Đang chờ sổ,Tây Nam,5,16,4,3,1,Nội thất cao cấp
,,,,,,,,,,,,
,,,,,,,,,,,,
"8,9 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,68,"Nhà ngõ, hẻm",Đã có sổ,,4,17,7,,,Nội thất cao cấp
,,,,,,,,,,,,
"2,85 tỷ",Đà Nẵng,Phường Hòa Minh,42,Nhà phố liền kề,Đã có sổ,Tây Nam,9.6,5.9,3,2,2,Nội thất cao cấp
"5,95 tỷ",Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,40,"Nhà ngõ, hẻm",Đã có sổ,Tây,4,10,3,4,4,Nội thất đầy đủ
32 tỷ,Tp Hồ Chí Minh,Phường Tân Định,104,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,6,,,
,,,,,,,,,,,,
"6,95 tỷ",Tp Hồ Chí Minh,Phường 8,50,"Nhà ngõ, hẻm",Đã có sổ,,5,10,4,,,
,,,,,,,,,,,,
8 tỷ,Tp Hồ Chí Minh,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),82,"Nhà mặt phố, mặt tiền",Đã có sổ,,5.2,,nhiều hơn 10,,,
"1,1 tỷ",Tp Hồ Chí Minh,Xã Bình Chánh,120,"Nhà mặt phố, mặt tiền",Đã có sổ,,6,20,4,,1,Nội thất đầy đủ
"3,65 tỷ",Long An,Xã Mỹ Hạnh Nam,200,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Bắc,10,20,3,3,2,Hoàn thiện cơ bản
"26,8 tỷ",Tp Hồ Chí Minh,Phường 19,55,"Nhà mặt phố, mặt tiền",Đã có sổ,Bắc,4,18,4,,4,
650 triệu,Tp Hồ Chí Minh,Phường Thạnh Xuân,20,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Tây Nam,4,5,1,2,1,Hoàn thiện cơ bản
,,,,,,,,,,,,
"9,7 tỷ",Tp Hồ Chí Minh,Phường Đông Hưng Thuận,81,"Nhà mặt phố, mặt tiền",Đã có sổ,,6,18,2,,,
,,,,,,,,,,,,
"7,6 tỷ",Tp Hồ Chí Minh,Phường Bình Trị Đông,57,"Nhà ngõ, hẻm",Đã có sổ,,4,14,4,5,5,Nội thất đầy đủ
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"6,1 tỷ",Đà Nẵng,Phường Khuê Trung,160,"Nhà mặt phố, mặt tiền",Đã có sổ,Đông Nam,,,3,,,
,,,,,,,,,,,,
"5,65 tỷ",Tp Hồ Chí Minh,Phường 14,44,"Nhà ngõ, hẻm",Đã có sổ,,4.4,10,3,3,,
"7,3 tỷ",Tp Hồ Chí Minh,Phường 14,42,"Nhà ngõ, hẻm",Đã có sổ,,,,4,3,4,
,,,,,,,,,,,,
"1,4 tỷ",Tp Hồ Chí Minh,Xã Hưng Long,64,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,16,3,2,1,Nội thất đầy đủ
"2,86 tỷ",Tp Hồ Chí Minh,Xã Phú Xuân,48,"Nhà mặt phố, mặt tiền",Đã có sổ,,4,12,2,2,2,Nội thất cao cấp
